,Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
68,0,661,35,5,150725.53,2,0,1,113656.85
69,0,675,21,8,98373.26,1,1,0,18203.0
70,1,738,58,2,133745.44,4,1,0,28373.86
71,0,813,29,6,0.0,1,1,0,33953.87
72,0,657,37,0,163607.18,1,0,1,44203.55
73,0,604,25,5,157780.84,2,1,1,58426.81
74,0,519,36,9,0.0,2,0,1,145562.4
75,0,735,21,1,178718.19,2,1,0,22388.0
76,0,664,55,8,0.0,2,1,1,139161.64
77,0,678,32,9,0.0,1,1,1,148210.64
78,0,757,33,5,77253.22,1,0,1,194239.63
79,0,416,41,10,122189.66,2,1,0,98301.61
80,0,665,34,1,96645.54,2,0,0,171413.66
81,1,777,32,2,0.0,1,1,0,136458.19
82,0,543,36,3,0.0,2,0,0,26019.59
83,0,506,34,4,90307.62,1,1,1,159235.29
84,0,493,46,4,0.0,2,1,0,1907.66
85,0,652,75,10,0.0,2,1,1,114675.75
86,1,750,22,3,121681.82,1,1,0,128643.35
87,0,729,30,9,0.0,2,1,0,151869.35
88,1,646,46,4,0.0,3,1,0,93251.42
89,0,635,28,3,81623.67,2,1,1,156791.36
90,1,647,44,5,0.0,3,1,1,174205.22
91,0,808,45,7,118626.55,2,1,0,147132.46
92,0,524,36,10,0.0,2,1,0,109614.57
93,0,769,29,8,0.0,2,1,1,172290.61
94,0,730,42,4,0.0,2,0,1,85982.47
95,0,515,35,10,176273.95,1,0,1,121277.78
96,0,773,41,9,102827.44,1,0,1,64595.25
97,0,814,29,8,97086.4,2,1,1,197276.13
98,0,710,22,8,0.0,2,0,0,99645.04
99,0,413,34,9,0.0,2,0,0,6534.18
100,0,665,40,6,0.0,1,1,1,161848.03
101,0,623,44,6,0.0,2,0,0,167162.43
102,0,738,31,9,82674.15,1,1,0,41970.72
103,0,528,36,7,0.0,2,1,0,60536.56
104,1,670,65,1,0.0,1,1,1,177655.68
105,1,622,46,4,107073.27,2,1,1,30984.59
106,0,582,32,1,88938.62,1,1,1,10054.53
107,0,785,36,2,99806.85,1,0,1,36976.52
108,0,605,33,5,150092.8,1,0,0,71862.79
109,1,479,35,9,92833.89,1,1,0,99449.86
110,0,685,30,3,90536.81,1,0,1,63082.88
111,0,538,39,7,108055.1,2,1,0,27231.26
112,0,562,42,2,100238.35,1,0,0,86797.41
113,0,675,36,9,106190.55,1,0,1,22994.32
114,1,721,28,9,154475.54,2,0,1,101300.94
115,0,628,30,9,132351.29,2,1,1,74169.13
116,0,668,37,6,167864.4,1,1,0,115638.29
117,0,506,41,1,0.0,2,1,0,31766.3
118,1,524,31,8,107818.63,1,1,0,199725.39
119,0,699,34,4,185173.81,2,1,0,120834.48
120,0,828,34,8,129433.34,2,0,0,38131.77
121,0,674,39,6,120193.42,1,0,0,100130.95
122,0,656,39,6,0.0,2,1,0,141069.88
123,0,684,48,10,126384.42,1,1,1,198129.36
124,0,625,28,3,0.0,1,0,0,183646.41
125,1,432,42,9,152603.45,1,1,0,110265.24
126,1,549,52,1,0.0,1,0,1,8636.05
127,1,625,56,0,148507.24,1,1,0,46824.08
128,0,828,41,7,0.0,2,1,0,171378.77
129,0,770,24,9,101827.07,1,1,0,167256.35
130,0,758,34,3,0.0,2,1,1,124226.16
131,0,795,33,9,130862.43,1,1,1,114935.21
132,0,687,38,9,122570.87,1,1,1,35608.88
133,0,686,25,1,0.0,2,0,1,16459.37
134,0,789,39,7,124828.46,2,1,1,124411.08
135,0,589,50,5,144895.05,2,1,1,34941.23
136,0,461,34,5,63663.93,1,0,1,167784.28
137,0,637,40,2,133463.1,1,0,1,93165.34
138,1,584,48,2,213146.2,1,1,0,75161.25
139,1,579,35,1,129490.36,2,0,1,8590.83
140,0,756,44,10,137452.09,1,1,0,189543.9
141,0,663,34,7,0.0,2,1,1,180427.24
142,0,682,43,5,125851.93,1,1,1,193318.33
143,1,793,52,2,0.0,1,1,0,159123.82
144,1,691,31,5,40915.55,1,1,0,126213.84
145,0,485,21,5,113157.22,1,1,1,54141.5
146,0,635,29,8,138296.94,2,1,0,141075.51
147,0,650,37,5,106967.18,1,0,0,24495.03
148,0,735,44,9,120681.63,1,1,0,74836.34
149,0,416,32,0,0.0,2,0,1,878.87
150,0,754,32,7,0.0,2,1,0,89520.75
151,1,535,48,9,0.0,1,1,0,149892.79
152,0,716,42,8,0.0,2,1,0,180800.42
153,0,539,37,2,127609.59,1,1,0,98646.22
154,0,614,43,6,0.0,2,1,1,109041.53
155,1,706,57,7,0.0,1,1,0,17941.16
156,0,758,33,7,0.0,2,0,0,82996.47
157,0,586,28,2,0.0,2,1,1,92067.35
158,0,646,73,6,97259.25,1,0,1,104719.66
159,0,631,33,4,123246.7,1,0,0,112687.57
160,0,717,22,6,101060.25,1,0,1,84699.56
161,0,684,30,2,0.0,2,1,0,83473.82
162,0,800,49,7,108007.36,1,0,0,47125.11
163,0,721,36,2,0.0,2,1,1,106977.8
164,1,683,29,0,133702.89,1,1,0,55582.54
165,0,660,31,9,125189.75,2,1,1,139874.43
166,1,704,24,7,113034.22,1,1,0,162503.48
167,0,615,41,9,109013.23,1,1,0,196499.96
168,1,667,39,2,0.0,2,1,0,40721.24
169,0,682,24,9,57929.81,2,0,0,53134.3
170,0,484,29,4,130114.39,1,1,0,164017.89
171,0,628,27,5,95826.49,2,1,0,155996.96
172,1,480,44,10,129608.57,1,1,0,5472.7
173,0,578,30,4,169462.09,1,1,0,112187.11
174,0,512,40,5,0.0,2,1,1,146457.83
175,0,484,35,7,133868.21,1,1,1,27286.1
176,0,510,30,0,0.0,2,1,1,130553.47
177,0,606,36,5,190479.48,2,0,0,179351.89
178,0,597,40,8,101993.12,1,0,1,94774.12
179,1,754,55,3,161608.81,1,1,0,8080.85
180,0,850,45,2,122311.21,1,1,1,19482.5
181,0,510,65,2,0.0,2,1,1,48071.61
182,0,778,45,1,162150.42,2,1,0,174531.27
183,0,636,42,2,0.0,2,1,1,55470.78
184,1,804,50,4,0.0,1,1,1,8546.87
185,0,514,32,8,0.0,2,1,0,95857.18
186,0,730,39,1,99010.67,1,1,0,194945.8
187,0,525,37,0,0.0,1,0,1,131521.72
188,0,616,30,5,0.0,2,0,1,196108.51
189,0,687,34,7,111388.18,2,1,0,148564.76
190,1,715,41,8,56214.85,2,0,0,92982.61
191,0,512,36,3,84327.77,2,1,0,17675.36
192,0,479,40,1,0.0,2,0,0,114996.43
193,0,601,32,8,93012.89,1,1,0,86957.42
194,0,580,29,9,61710.44,2,1,0,128077.8
195,0,807,35,3,174790.15,1,1,1,600.36
196,0,616,32,6,0.0,2,1,1,43001.46
197,0,721,37,3,107720.64,1,1,1,158591.12
198,0,501,57,10,0.0,2,1,1,47847.19
199,0,521,35,6,96423.84,1,1,0,10488.44
200,0,850,30,2,141040.01,1,1,1,5978.2
201,0,759,42,4,105420.18,1,0,1,121409.06
202,1,516,50,5,0.0,1,0,1,146145.93
203,1,711,38,2,129022.06,2,1,1,14374.86
204,0,512,33,3,176666.62,1,1,0,94670.77
205,0,550,37,3,0.0,1,1,1,179670.31
206,1,608,41,3,89763.84,1,0,0,199304.74
207,0,618,34,5,134954.53,1,1,1,151954.39
208,1,643,45,5,0.0,1,1,0,142513.5
209,0,671,45,2,106376.85,1,0,1,158264.62
210,0,689,33,2,161814.64,2,1,0,169381.9
211,0,603,31,8,0.0,2,1,1,169915.02
212,0,620,41,9,0.0,2,0,0,88852.47
213,0,676,34,1,63095.01,1,1,1,40645.81
214,0,572,26,4,118287.01,2,0,0,60427.3
215,1,668,47,7,106854.21,1,0,1,157959.02
216,0,695,46,7,49512.55,1,1,0,133007.34
217,0,730,33,9,0.0,2,0,0,176576.62
218,1,807,43,1,105799.32,2,1,0,34888.04
219,1,592,54,8,0.0,1,1,1,28737.71
220,0,726,31,9,114722.05,2,1,1,98178.57
221,0,514,30,7,0.0,1,0,1,125010.24
222,0,567,42,2,0.0,2,1,1,167984.61
223,1,850,33,10,0.0,1,1,0,4861.72
224,1,671,45,6,99564.22,1,1,1,108872.45
225,0,670,37,4,170557.91,2,1,0,198252.88
226,0,694,30,9,0.0,2,1,1,26960.31
227,1,547,39,6,74596.15,3,1,1,85746.52
228,1,751,50,2,96888.39,1,1,0,77206.25
229,0,594,29,3,130830.22,1,1,0,61048.53
230,0,673,72,1,0.0,2,0,1,111981.19
231,0,610,40,0,0.0,2,1,0,62232.6
232,0,512,37,1,0.0,2,0,1,156105.03
233,0,767,20,3,119714.25,2,0,1,150135.38
234,0,585,67,5,113978.97,2,0,1,93146.11
235,1,763,42,6,100160.75,1,1,0,33462.94
236,0,712,29,2,0.0,1,1,1,144375.0
237,1,539,43,3,116220.5,3,1,0,55803.96
238,1,668,46,2,0.0,3,1,0,89048.46
239,0,703,28,2,81173.83,2,0,1,162812.16
240,0,662,38,4,0.0,2,1,0,136259.65
241,0,725,39,5,116803.8,1,1,0,124052.97
242,0,703,37,8,105961.68,2,0,1,74158.8
243,1,659,67,6,117411.6,1,1,1,45071.09
244,0,523,34,7,0.0,2,1,0,62030.06
245,1,635,40,10,123497.58,1,1,0,131953.23
246,0,772,26,7,152400.51,2,1,0,79414.0
247,0,545,26,1,0.0,2,1,1,199638.56
248,0,634,24,8,103097.85,1,1,1,157577.29
249,1,739,54,8,126418.14,1,1,0,134420.75
250,0,771,36,5,77846.9,1,0,0,99805.99
251,0,587,34,1,0.0,2,1,1,97932.68
252,0,681,79,0,0.0,2,0,1,170968.99
253,0,544,37,2,79731.91,1,1,1,57558.95
254,0,696,28,8,0.0,1,0,0,176713.47
255,0,766,41,0,0.0,2,0,1,34283.23
256,0,727,34,10,0.0,2,1,1,198637.34
257,0,671,34,6,37266.67,2,0,0,156917.12
258,0,693,30,6,127992.25,1,1,1,50457.2
259,0,850,38,3,54901.01,1,1,1,140075.55
260,0,732,42,9,108748.08,2,1,1,65323.11
261,0,726,48,6,99906.19,1,1,0,64323.24
262,0,557,32,6,184686.41,2,1,0,14956.44
263,0,682,26,0,110654.02,1,0,1,111879.21
264,0,738,31,9,79019.8,1,1,1,18606.23
265,0,531,36,9,99240.51,1,1,0,123137.01
266,0,498,34,2,0.0,2,1,1,148528.24
267,0,651,36,7,0.0,2,1,0,13898.31
268,1,549,39,7,0.0,1,0,0,81259.25
269,0,791,35,7,52436.2,1,1,0,161051.75
270,0,650,41,9,0.0,2,0,1,191599.67
271,1,733,34,3,100337.96,3,1,0,48559.19
272,0,811,34,1,149297.19,2,1,1,186339.74
273,0,707,30,8,0.0,2,1,0,33159.37
274,0,712,28,4,145605.44,1,0,1,93883.53
275,0,706,37,7,0.0,2,1,1,110899.3
276,1,756,62,3,0.0,1,1,1,11199.04
277,0,777,53,10,0.0,2,1,0,189992.97
278,0,646,35,6,84026.86,1,0,1,164255.69
279,1,714,46,1,0.0,1,1,0,152167.79
280,0,782,39,8,0.0,2,1,1,33949.67
281,0,775,29,10,0.0,2,1,1,68143.93
282,1,479,35,4,138718.92,1,1,1,47251.79
283,0,807,42,7,118274.71,1,1,1,25885.72
284,0,799,22,8,174185.98,2,0,1,192633.85
285,0,675,40,7,113208.86,2,1,0,34577.36
286,0,602,29,5,103907.28,1,1,0,161229.84
287,0,475,32,8,119023.28,1,1,0,100816.29
288,0,744,26,5,166297.89,1,1,1,181694.44
289,0,588,34,10,0.0,2,1,0,79078.91
290,0,703,42,9,63227.0,1,0,1,137316.32
291,0,747,41,5,94521.17,2,1,0,194926.86
292,0,583,27,7,0.0,2,1,0,51285.49
293,1,750,34,9,112822.26,1,0,0,150401.53
294,0,681,38,3,0.0,2,1,1,112491.96
295,0,773,25,2,135903.33,1,1,0,73656.38
296,0,714,31,4,125169.26,1,1,1,106636.89
297,1,687,44,7,0.0,3,1,0,155853.52
298,0,511,58,0,149117.31,1,1,1,162599.51
299,0,627,33,5,0.0,2,1,1,103737.82
300,0,694,31,10,0.0,2,1,0,160990.27
301,0,616,36,6,132311.71,1,0,0,15462.84
302,0,687,35,8,0.0,2,1,0,10334.05
303,0,712,33,6,0.0,2,1,1,190686.16
304,0,553,33,4,118082.89,1,0,0,94440.45
305,0,667,31,1,119266.69,1,1,1,28257.63
306,1,731,43,2,0.0,1,1,1,170034.95
307,0,629,35,7,156847.29,2,1,0,31824.29
308,1,614,50,4,137104.47,1,1,0,127166.49
309,0,438,31,8,78398.69,1,1,0,44937.01
310,0,652,80,4,0.0,2,1,1,188603.07
311,0,729,30,6,63669.42,1,1,0,145111.37
312,0,642,38,3,0.0,2,0,0,171463.83
313,0,806,59,0,135296.33,1,1,0,182822.5
314,0,744,36,2,153804.44,1,1,1,87213.33
315,0,474,37,3,0.0,2,0,0,57175.32
316,1,559,49,2,147069.78,1,1,0,120540.83
317,0,706,42,9,0.0,2,1,1,28714.34
318,0,628,22,3,0.0,1,1,0,85426.28
319,0,429,24,4,95741.75,1,1,0,46170.75
320,0,525,57,2,145965.33,1,1,1,64448.36
321,0,680,30,8,141441.75,1,1,1,16278.97
322,1,749,40,1,139290.41,1,1,0,182855.42
323,0,763,31,4,0.0,2,0,0,50404.72
324,0,734,30,3,0.0,2,1,0,107640.25
325,0,716,35,4,144428.87,1,1,0,134132.65
326,0,594,35,2,0.0,2,1,0,103480.69
327,1,644,46,9,95441.27,1,1,0,108761.05
328,0,671,35,1,144848.74,1,1,1,179012.3
329,0,664,26,7,116244.14,2,1,1,95145.14
330,0,656,50,7,0.0,2,0,1,72143.44
331,0,667,40,1,146502.07,1,1,0,19162.89
332,0,663,44,2,117028.6,2,0,1,144680.18
333,1,584,30,8,112013.81,1,1,0,177772.03
334,0,626,37,6,108269.37,1,1,0,5597.94
335,1,485,29,7,182123.79,1,1,0,116828.51
336,0,659,32,3,150923.74,2,0,1,174652.51
337,0,649,33,2,0.0,2,1,0,2010.98
338,1,805,39,5,165272.13,1,1,0,14109.85
339,1,716,39,10,115301.31,1,1,0,43527.4
340,1,642,40,6,129502.49,2,0,1,86099.23
341,0,659,31,4,118342.26,1,0,0,161574.19
342,0,545,47,5,0.0,2,1,1,38970.14
343,0,543,22,8,0.0,2,0,0,127587.22
344,0,718,25,7,0.0,2,1,0,30380.12
345,0,840,43,7,0.0,2,1,0,90908.95
346,0,630,34,9,106937.05,2,1,0,138275.01
347,0,643,59,3,170331.37,1,1,1,32171.79
348,0,654,32,1,114510.85,1,1,1,126143.23
349,0,582,39,5,0.0,2,1,1,129892.93
350,0,659,32,3,107594.11,2,1,1,102416.84
351,0,762,39,2,81273.13,1,1,1,18719.67
352,0,568,32,7,169399.6,1,1,0,61936.22
353,0,670,25,6,0.0,2,1,1,78358.94
354,0,613,45,1,187841.99,2,1,1,147224.27
355,0,539,30,0,0.0,2,1,0,160979.66
356,0,850,57,8,126776.3,2,1,1,132298.49
357,1,522,34,9,126436.29,1,1,0,174248.52
358,0,737,41,1,101960.74,1,1,1,123547.28
359,0,520,58,3,0.0,2,0,1,32790.02
360,0,706,28,3,0.0,2,0,1,181543.67
361,1,643,45,2,150842.93,1,0,1,2319.96
362,0,648,50,9,102535.57,1,1,1,189543.19
363,0,443,29,9,99027.61,2,1,0,10940.4
364,0,640,68,9,0.0,2,1,1,199493.38
365,0,628,33,3,0.0,1,1,1,188193.25
366,0,540,42,9,87271.41,2,1,0,172572.64
367,0,460,35,8,102742.91,2,1,1,189339.6
368,0,636,34,2,40105.51,2,0,1,53512.16
369,0,593,29,2,152265.43,1,1,0,34004.44
370,0,801,42,4,141947.67,1,1,1,10598.29
371,0,640,75,1,106307.91,2,0,1,113428.77
372,0,611,31,0,107884.81,2,1,1,183487.98
373,0,802,31,1,125013.72,1,1,1,187658.09
374,0,717,35,7,58469.37,2,1,1,172459.39
375,0,769,39,8,0.0,1,0,1,21016.0
376,1,745,45,10,117231.63,3,1,1,122381.02
377,0,572,35,4,152390.26,1,1,0,128123.66
378,0,629,30,2,34013.63,1,1,0,19570.63
379,1,687,39,2,0.0,3,0,0,188150.6
380,0,483,50,9,0.0,2,1,1,111020.24
381,0,690,36,7,101583.11,2,1,0,123775.15
382,0,492,30,10,77168.87,2,0,1,146700.22
383,0,709,28,8,124695.72,2,1,0,145251.35
384,0,705,44,3,105934.96,1,1,0,82463.69
385,0,560,66,9,0.0,1,1,1,15928.49
386,0,611,46,6,0.0,2,1,0,45886.33
387,0,730,62,2,0.0,2,1,1,186489.95
388,0,709,45,2,0.0,2,0,1,162922.65
389,0,544,21,10,161525.96,2,1,0,9262.77
390,0,712,29,7,147199.07,1,1,1,84932.4
391,0,752,38,3,183102.29,1,1,1,71557.12
392,1,648,46,9,127209.0,2,1,0,77405.95
393,1,556,38,8,0.0,2,0,0,417.41
394,0,594,24,0,97378.54,1,1,1,71405.17
395,0,645,37,2,136925.09,2,0,1,153400.24
396,0,557,33,3,54503.55,1,1,1,371.05
397,0,547,32,8,155726.85,1,1,0,67789.99
398,0,701,39,9,0.0,2,0,1,145894.9
399,1,616,66,1,135842.41,1,1,0,183840.51
400,0,605,52,1,63349.75,1,1,0,108887.44
401,0,593,38,4,129499.42,1,1,1,154071.27
402,0,751,52,8,0.0,2,0,1,179291.85
403,0,443,36,6,70438.01,2,0,1,56937.43
404,0,685,23,8,0.0,2,1,1,112239.03
405,0,718,36,9,0.0,1,1,0,45909.87
406,1,538,49,9,141434.04,1,0,0,173779.25
407,0,611,37,4,0.0,2,1,0,125696.26
408,0,668,37,10,152958.29,2,1,1,159585.61
409,0,537,41,3,138306.34,1,1,0,106761.47
410,0,709,23,10,0.0,2,0,0,129590.18
411,0,850,38,1,0.0,2,1,1,80006.65
412,0,745,31,3,124328.84,1,1,1,140451.52
413,1,693,41,9,181461.48,3,1,1,187929.43
414,0,795,35,8,0.0,2,1,0,167155.36
415,0,626,26,8,0.0,2,0,0,191420.71
416,1,487,61,5,110368.03,1,0,0,11384.45
417,0,556,39,9,89588.35,1,1,1,94898.1
418,0,643,46,6,0.0,2,0,0,106781.59
419,0,605,28,6,0.0,2,0,0,159508.52
420,1,756,60,3,115924.89,1,1,0,93524.19
421,0,586,38,2,0.0,2,1,0,87168.46
422,1,535,40,7,111756.5,1,1,0,8128.32
423,0,678,35,4,0.0,1,1,0,125518.32
424,0,596,39,9,0.0,1,1,0,48963.59
425,0,648,26,9,162923.85,1,1,0,98368.24
426,0,492,39,10,124576.65,2,1,0,148584.61
427,0,702,45,0,80793.58,1,1,1,27474.81
428,0,486,40,9,71340.09,1,1,0,76192.21
429,1,568,40,1,99282.63,1,0,0,134600.94
430,1,619,57,3,137946.39,1,1,1,72467.99
431,0,724,41,2,127892.57,2,0,1,199645.45
432,0,548,33,0,101084.36,1,1,0,42749.85
433,1,545,37,8,114754.08,1,1,0,136050.44
434,0,683,33,8,0.0,1,0,0,73564.44
435,0,762,51,3,99286.98,1,0,1,85578.63
436,0,627,30,4,79871.02,2,1,0,129826.89
437,0,516,35,10,104088.59,2,0,0,119666.0
438,0,800,38,2,168190.33,2,1,0,68052.08
439,0,464,42,3,85679.25,1,1,1,164104.74
440,0,626,35,3,0.0,1,0,0,80190.36
441,0,790,31,9,0.0,2,1,0,84126.75
442,0,534,34,7,121551.58,2,1,1,70179.0
443,0,745,46,2,122220.19,1,1,1,118024.1
444,1,553,47,3,116528.15,1,0,0,145704.19
445,0,748,26,1,77780.29,1,0,1,183049.41
446,0,722,37,2,0.0,1,0,0,120906.83
447,0,501,40,4,125832.2,1,1,1,100433.83
448,1,675,38,6,68065.8,1,0,0,138777.0
449,0,778,47,6,127299.34,2,1,0,124694.99
450,0,494,38,7,174937.64,1,1,0,40084.32
451,0,850,40,9,0.0,2,0,1,119232.33
452,0,592,31,7,110071.1,1,0,0,43921.36
453,0,590,44,3,139432.37,1,1,0,62222.81
454,0,758,39,6,127357.76,1,0,1,56577.0
455,0,506,36,5,0.0,2,1,0,164253.35
456,0,733,33,3,0.0,1,1,1,7666.73
457,0,711,38,3,0.0,2,1,0,68487.51
458,1,514,43,1,95556.31,1,0,1,199273.98
459,0,637,37,8,0.0,1,1,1,186062.36
460,0,468,29,1,111681.98,2,1,1,195711.16
461,0,539,39,3,0.0,2,1,0,36692.17
462,0,509,25,3,108738.71,2,1,0,106920.57
463,1,662,32,4,133950.37,1,1,1,48725.68
464,0,818,26,4,0.0,2,1,1,167036.94
465,0,608,33,9,89968.69,1,1,0,68777.26
466,0,850,32,9,0.0,2,1,1,18924.92
467,1,816,38,5,130878.75,3,1,0,71905.77
468,0,536,35,8,0.0,2,1,0,64833.28
469,0,753,35,3,0.0,2,1,1,184843.77
470,0,631,27,10,134169.62,1,1,1,176730.02
471,1,703,37,1,149762.08,1,1,0,20629.4
472,0,774,26,2,93844.69,1,1,0,28415.36
473,0,785,28,8,0.0,2,1,0,77231.27
474,0,571,33,1,0.0,2,1,0,102750.7
475,1,621,46,6,141078.37,1,0,0,34580.8
476,0,605,31,1,117992.59,1,1,1,183598.77
477,0,611,40,8,100812.33,2,1,0,147358.27
478,0,569,38,7,0.0,1,1,1,108469.2
479,0,658,29,4,80262.6,1,1,1,20612.82
480,0,788,34,6,156478.62,1,0,1,181196.76
481,0,525,23,5,0.0,2,1,0,160249.1
482,0,798,37,8,0.0,3,0,0,110783.28
483,0,486,37,9,115217.99,2,1,0,144995.33
484,1,615,61,9,0.0,2,1,0,150227.85
485,0,730,35,0,155470.55,1,1,1,53718.28
486,0,641,37,7,0.0,2,1,0,75248.3
487,1,542,39,3,135096.77,1,1,1,14353.43
488,0,692,30,2,0.0,2,0,1,130486.57
489,0,714,55,9,180075.22,1,1,1,100127.71
490,0,591,29,1,97541.24,1,1,1,196356.17
491,0,710,41,2,156067.05,1,1,1,9983.88
492,0,639,38,4,81550.94,2,0,1,118974.77
493,1,531,47,6,0.0,1,0,0,194998.34
494,1,673,38,2,170061.92,2,0,0,134901.34
495,0,765,36,8,92310.54,2,1,1,72924.56
496,0,622,32,6,169089.38,2,1,0,101057.95
497,0,806,40,5,80613.93,1,1,1,142838.64
498,0,757,26,8,121581.56,2,1,1,127059.04
499,1,570,58,8,0.0,1,0,1,116503.92
500,0,555,32,4,0.0,2,1,1,54405.79
501,0,692,54,5,0.0,2,1,1,88721.84
502,1,774,60,5,85891.55,1,1,0,74135.48
503,0,638,44,9,77637.35,2,1,1,111346.22
504,0,543,41,4,0.0,1,0,0,194902.16
505,0,584,31,5,0.0,2,1,0,31474.27
506,0,691,30,7,116927.89,1,1,0,21198.39
507,0,684,40,6,137326.65,1,1,0,186976.6
508,0,733,22,5,0.0,2,1,1,117202.19
509,0,599,37,2,0.0,2,1,1,143739.29
510,0,524,31,10,67238.98,2,1,1,161811.23
511,0,632,38,6,86569.76,2,1,0,98090.91
512,0,735,34,5,0.0,2,0,0,71095.41
513,0,734,34,6,133598.4,1,1,1,13107.24
514,1,605,51,3,136188.78,1,1,1,67110.59
515,0,793,38,9,0.0,2,1,0,88225.02
516,1,468,56,10,0.0,3,0,1,62256.87
517,0,779,37,7,120092.52,2,1,0,135925.72
518,1,698,48,4,101238.24,2,0,1,177815.87
519,0,707,58,6,89685.92,1,0,1,126471.13
520,1,850,35,1,211774.31,1,1,0,188574.12
521,0,850,56,7,131317.48,1,1,1,119175.45
522,0,527,37,5,93722.73,2,1,1,139093.73
523,0,696,32,8,101160.99,1,1,1,115916.55
524,0,661,48,3,120320.54,1,0,0,96463.25
525,0,776,31,2,0.0,2,1,1,112349.51
526,0,701,43,2,0.0,2,1,1,165303.79
527,0,610,26,8,0.0,2,1,0,166031.08
528,1,572,48,3,152827.99,1,1,0,38411.79
529,0,673,30,1,64097.75,1,1,1,77783.35
530,0,519,57,2,119035.35,2,1,1,29871.79
531,0,702,26,4,135219.57,1,0,1,59747.63
532,0,729,32,6,93694.42,1,1,1,79919.13
533,0,543,35,10,59408.63,1,1,0,76773.53
534,0,550,40,7,114354.95,1,1,0,54018.93
535,1,608,59,1,0.0,1,1,0,70649.64
536,0,639,35,10,128173.9,2,1,0,59093.39
537,0,686,34,9,0.0,2,1,0,127569.8
538,1,564,62,5,114931.35,3,0,1,18260.98
539,1,745,28,1,111071.36,1,1,0,73275.96
540,0,833,37,8,151226.18,2,1,1,136129.49
541,0,622,26,9,0.0,2,1,1,153237.59
