,symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,width,height,engine-type,engine-size,horsepower,city-mpg,highway-mpg,price
31,2,137,honda,gas,hatchback,fwd,front,63.9,50.8,ohc,92,76,31,38,6855
32,1,101,honda,gas,hatchback,fwd,front,64.0,52.6,ohc,79,60,38,42,5399
33,1,101,honda,gas,hatchback,fwd,front,64.0,52.6,ohc,92,76,30,34,6529
34,1,101,honda,gas,hatchback,fwd,front,64.0,52.6,ohc,92,76,30,34,7129
35,0,110,honda,gas,sedan,fwd,front,64.0,54.5,ohc,92,76,30,34,7295
36,0,78,honda,gas,wagon,fwd,front,63.9,58.3,ohc,92,76,30,34,7295
37,0,106,honda,gas,hatchback,fwd,front,65.2,53.3,ohc,110,86,27,33,7895
38,0,106,honda,gas,hatchback,fwd,front,65.2,53.3,ohc,110,86,27,33,9095
39,0,85,honda,gas,sedan,fwd,front,65.2,54.1,ohc,110,86,27,33,8845
40,0,85,honda,gas,sedan,fwd,front,62.5,54.1,ohc,110,86,27,33,10295
41,0,85,honda,gas,sedan,fwd,front,65.2,54.1,ohc,110,101,24,28,12945
42,1,107,honda,gas,sedan,fwd,front,66.0,51.0,ohc,110,100,25,31,10345
43,0,115,isuzu,gas,sedan,rwd,front,61.8,53.5,ohc,111,78,24,29,6785
44,1,115,isuzu,gas,sedan,fwd,front,63.6,52.0,ohc,90,70,38,43,10000
45,0,115,isuzu,gas,sedan,fwd,front,63.6,52.0,ohc,90,70,38,43,23000
46,2,115,isuzu,gas,hatchback,rwd,front,65.2,51.4,ohc,119,90,24,29,11048
47,0,145,jaguar,gas,sedan,rwd,front,69.6,52.8,dohc,258,176,15,19,32250
48,0,115,jaguar,gas,sedan,rwd,front,69.6,52.8,dohc,258,176,15,19,35550
49,0,115,jaguar,gas,sedan,rwd,front,70.6,47.8,ohcv,326,262,13,17,36000
50,1,104,mazda,gas,hatchback,fwd,front,64.2,54.1,ohc,91,68,30,31,5195
51,1,104,mazda,gas,hatchback,fwd,front,64.2,54.1,ohc,91,68,31,38,6095
52,1,104,mazda,gas,hatchback,fwd,front,64.2,54.1,ohc,91,68,31,38,6795
53,1,113,mazda,gas,sedan,fwd,front,64.2,54.1,ohc,91,68,31,38,6695
54,1,113,mazda,gas,sedan,fwd,front,64.2,54.1,ohc,91,68,31,38,7395
55,3,150,mazda,gas,hatchback,rwd,front,65.7,49.6,rotor,70,101,17,23,10945
56,3,150,mazda,gas,hatchback,rwd,front,65.7,49.6,rotor,70,101,17,23,11845
57,3,150,mazda,gas,hatchback,rwd,front,65.7,49.6,rotor,70,101,17,23,13645
58,3,150,mazda,gas,hatchback,rwd,front,65.7,49.6,rotor,80,135,16,23,15645
59,1,129,mazda,gas,hatchback,fwd,front,66.5,53.7,ohc,122,84,26,32,8845
60,0,115,mazda,gas,sedan,fwd,front,66.5,55.5,ohc,122,84,26,32,8495
61,1,129,mazda,gas,hatchback,fwd,front,66.5,53.7,ohc,122,84,26,32,10595
62,0,115,mazda,gas,sedan,fwd,front,66.5,55.5,ohc,122,84,26,32,10245
63,0,115,mazda,diesel,sedan,fwd,front,66.5,55.5,ohc,122,64,36,42,10795
64,0,115,mazda,gas,hatchback,fwd,front,66.5,55.5,ohc,122,84,26,32,11245
65,0,118,mazda,gas,sedan,rwd,front,66.1,54.4,ohc,140,120,19,27,18280
66,0,115,mazda,diesel,sedan,rwd,front,66.1,54.4,ohc,134,72,31,39,18344
67,-1,93,mercedes-benz,diesel,sedan,rwd,front,70.3,56.5,ohc,183,123,22,25,25552
68,-1,93,mercedes-benz,diesel,wagon,rwd,front,70.3,58.7,ohc,183,123,22,25,28248
69,0,93,mercedes-benz,diesel,hardtop,rwd,front,70.3,54.9,ohc,183,123,22,25,28176
70,-1,93,mercedes-benz,diesel,sedan,rwd,front,71.7,56.3,ohc,183,123,22,25,31600
71,-1,115,mercedes-benz,gas,sedan,rwd,front,71.7,56.5,ohcv,234,155,16,18,34184
72,3,142,mercedes-benz,gas,convertible,rwd,front,70.5,50.8,ohcv,234,155,16,18,35056
73,0,115,mercedes-benz,gas,sedan,rwd,front,71.7,56.7,ohcv,308,184,14,16,40960
74,1,115,mercedes-benz,gas,hardtop,rwd,front,72.0,55.4,ohcv,304,184,14,16,45400
75,1,115,mercury,gas,hatchback,rwd,front,68.0,54.8,ohc,140,175,19,24,16503
76,2,161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,ohc,92,68,37,41,5389
77,2,161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,ohc,92,68,31,38,6189
78,2,161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,ohc,92,68,31,38,6669
79,1,161,mitsubishi,gas,hatchback,fwd,front,63.8,50.8,ohc,98,102,24,30,7689
80,3,153,mitsubishi,gas,hatchback,fwd,front,65.4,49.4,ohc,110,116,23,30,9959
81,3,153,mitsubishi,gas,hatchback,fwd,front,65.4,49.4,ohc,122,88,25,32,8499
82,3,115,mitsubishi,gas,hatchback,fwd,front,66.3,50.2,ohc,156,145,19,24,12629
83,3,115,mitsubishi,gas,hatchback,fwd,front,66.3,50.2,ohc,156,145,19,24,14869
84,3,115,mitsubishi,gas,hatchback,fwd,front,66.3,50.2,ohc,156,145,19,24,14489
85,1,125,mitsubishi,gas,sedan,fwd,front,65.4,51.6,ohc,122,88,25,32,6989
86,1,125,mitsubishi,gas,sedan,fwd,front,65.4,51.6,ohc,122,88,25,32,8189
87,1,125,mitsubishi,gas,sedan,fwd,front,65.4,51.6,ohc,110,116,23,30,9279
88,-1,137,mitsubishi,gas,sedan,fwd,front,65.4,51.6,ohc,110,116,23,30,9279
89,1,128,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,5499
90,1,128,nissan,diesel,sedan,fwd,front,63.8,54.5,ohc,103,55,45,50,7099
91,1,128,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,6649
92,1,122,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,6849
93,1,103,nissan,gas,wagon,fwd,front,63.8,53.5,ohc,97,69,31,37,7349
94,1,128,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,7299
95,1,128,nissan,gas,hatchback,fwd,front,63.8,53.3,ohc,97,69,31,37,7799
96,1,122,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,7499
97,1,103,nissan,gas,wagon,fwd,front,63.8,53.5,ohc,97,69,31,37,7999
98,2,168,nissan,gas,hardtop,fwd,front,63.8,53.3,ohc,97,69,31,37,8249
99,0,106,nissan,gas,hatchback,fwd,front,65.2,54.7,ohc,120,97,27,34,8949
100,0,106,nissan,gas,sedan,fwd,front,65.2,54.7,ohc,120,97,27,34,9549
101,0,128,nissan,gas,sedan,fwd,front,66.5,55.1,ohcv,181,152,17,22,13499
102,0,108,nissan,gas,wagon,fwd,front,66.5,56.1,ohcv,181,152,17,22,14399
103,0,108,nissan,gas,sedan,fwd,front,66.5,55.1,ohcv,181,152,19,25,13499
104,3,194,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,160,19,25,17199
105,3,194,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,200,17,23,19699
106,1,231,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,160,19,25,18399
107,0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,97,19,24,11900
108,0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,13200
109,0,115,peugot,gas,wagon,rwd,front,68.4,58.7,l,120,97,19,24,12440
110,0,115,peugot,diesel,wagon,rwd,front,68.4,58.7,l,152,95,25,25,13860
111,0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,95,19,24,15580
112,0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,16900
113,0,115,peugot,gas,wagon,rwd,front,68.4,56.7,l,120,95,19,24,16695
114,0,115,peugot,diesel,wagon,rwd,front,68.4,58.7,l,152,95,25,25,17075
115,0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,97,19,24,16630
116,0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,17950
117,0,161,peugot,gas,sedan,rwd,front,68.3,56.0,l,134,142,18,24,18150
118,1,119,plymouth,gas,hatchback,fwd,front,63.8,50.8,ohc,90,68,37,41,5572
119,1,119,plymouth,gas,hatchback,fwd,front,63.8,50.8,ohc,98,102,24,30,7957
120,1,154,plymouth,gas,hatchback,fwd,front,63.8,50.6,ohc,90,68,31,38,6229
121,1,154,plymouth,gas,sedan,fwd,front,63.8,50.8,ohc,90,68,31,38,6692
122,1,154,plymouth,gas,sedan,fwd,front,63.8,50.8,ohc,98,68,31,38,7609
123,-1,74,plymouth,gas,wagon,fwd,front,64.6,59.8,ohc,122,88,24,30,8921
124,3,115,plymouth,gas,hatchback,rwd,front,66.3,50.2,ohc,156,145,19,24,12764
125,3,186,porsche,gas,hatchback,rwd,front,68.3,50.2,ohc,151,143,19,27,22018
126,3,115,porsche,gas,hardtop,rwd,rear,65.0,51.6,ohcf,194,207,17,25,32528
127,3,115,porsche,gas,hardtop,rwd,rear,65.0,51.6,ohcf,194,207,17,25,34028
128,3,115,porsche,gas,convertible,rwd,rear,65.0,51.6,ohcf,194,207,17,25,37028
129,1,115,porsche,gas,hatchback,rwd,front,72.3,50.5,dohcv,203,288,17,28,12000
130,0,115,renault,gas,wagon,fwd,front,66.5,55.2,ohc,132,95,23,31,9295
131,2,115,renault,gas,hatchback,fwd,front,66.6,50.5,ohc,132,95,23,31,9895
132,3,150,saab,gas,hatchback,fwd,front,66.5,56.1,ohc,121,110,21,28,11850
133,2,104,saab,gas,sedan,fwd,front,66.5,56.1,ohc,121,110,21,28,12170
134,3,150,saab,gas,hatchback,fwd,front,66.5,56.1,ohc,121,110,21,28,15040
135,2,104,saab,gas,sedan,fwd,front,66.5,56.1,ohc,121,110,21,28,15510
136,3,150,saab,gas,hatchback,fwd,front,66.5,56.1,dohc,121,160,19,26,18150
137,2,104,saab,gas,sedan,fwd,front,66.5,56.1,dohc,121,160,19,26,18620
138,2,83,subaru,gas,hatchback,fwd,front,63.4,53.7,ohcf,97,69,31,36,5118
139,2,83,subaru,gas,hatchback,fwd,front,63.6,53.7,ohcf,108,73,26,31,7053
140,2,83,subaru,gas,hatchback,4wd,front,63.8,55.7,ohcf,108,73,26,31,7603
141,0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,82,32,37,7126
142,0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,82,28,33,7775
143,0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,94,26,32,9960
144,0,102,subaru,gas,sedan,4wd,front,65.4,54.3,ohcf,108,82,24,25,9233
145,0,102,subaru,gas,sedan,4wd,front,65.4,54.3,ohcf,108,111,24,29,11259
146,0,89,subaru,gas,wagon,fwd,front,65.4,53.0,ohcf,108,82,28,32,7463
147,0,89,subaru,gas,wagon,fwd,front,65.4,53.0,ohcf,108,94,25,31,10198
148,0,85,subaru,gas,wagon,4wd,front,65.4,54.9,ohcf,108,82,23,29,8013
149,0,85,subaru,gas,wagon,4wd,front,65.4,54.9,ohcf,108,111,23,23,11694
150,1,87,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,35,39,5348
151,1,87,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,31,38,6338
152,1,74,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,31,38,6488
153,0,77,toyota,gas,wagon,fwd,front,63.6,59.1,ohc,92,62,31,37,6918
154,0,81,toyota,gas,wagon,4wd,front,63.6,59.1,ohc,92,62,27,32,7898
155,0,91,toyota,gas,wagon,4wd,front,63.6,59.1,ohc,92,62,27,32,8778
156,0,91,toyota,gas,sedan,fwd,front,64.4,53.0,ohc,98,70,30,37,6938
157,0,91,toyota,gas,hatchback,fwd,front,64.4,52.8,ohc,98,70,30,37,7198
158,0,91,toyota,diesel,sedan,fwd,front,64.4,53.0,ohc,110,56,34,36,7898
159,0,91,toyota,diesel,hatchback,fwd,front,64.4,52.8,ohc,110,56,38,47,7788
160,0,91,toyota,gas,sedan,fwd,front,64.4,53.0,ohc,98,70,38,47,7738
161,0,91,toyota,gas,hatchback,fwd,front,64.4,52.8,ohc,98,70,28,34,8358
162,0,91,toyota,gas,sedan,fwd,front,64.4,52.8,ohc,98,70,28,34,9258
163,1,168,toyota,gas,sedan,rwd,front,64.0,52.6,ohc,98,70,29,34,8058
164,1,168,toyota,gas,hatchback,rwd,front,64.0,52.6,ohc,98,70,29,34,8238
165,1,168,toyota,gas,sedan,rwd,front,64.0,52.6,dohc,98,112,26,29,9298
166,1,168,toyota,gas,hatchback,rwd,front,64.0,52.6,dohc,98,112,26,29,9538
167,2,134,toyota,gas,hardtop,rwd,front,65.6,52.0,ohc,146,116,24,30,8449
168,2,134,toyota,gas,hardtop,rwd,front,65.6,52.0,ohc,146,116,24,30,9639
169,2,134,toyota,gas,hatchback,rwd,front,65.6,52.0,ohc,146,116,24,30,9989
170,2,134,toyota,gas,hardtop,rwd,front,65.6,52.0,ohc,146,116,24,30,11199
171,2,134,toyota,gas,hatchback,rwd,front,65.6,52.0,ohc,146,116,24,30,11549
172,2,134,toyota,gas,convertible,rwd,front,65.6,53.0,ohc,146,116,24,30,17669
173,-1,65,toyota,gas,sedan,fwd,front,66.5,54.9,ohc,122,92,29,34,8948
174,-1,65,toyota,diesel,sedan,fwd,front,66.5,54.9,ohc,110,73,30,33,10698
175,-1,65,toyota,gas,hatchback,fwd,front,66.5,53.9,ohc,122,92,27,32,9988
176,-1,65,toyota,gas,sedan,fwd,front,66.5,54.9,ohc,122,92,27,32,10898
177,-1,65,toyota,gas,hatchback,fwd,front,66.5,53.9,ohc,122,92,27,32,11248
178,3,197,toyota,gas,hatchback,rwd,front,67.7,52.0,dohc,171,161,20,24,16558
179,3,197,toyota,gas,hatchback,rwd,front,67.7,52.0,dohc,171,161,19,24,15998
180,-1,90,toyota,gas,sedan,rwd,front,66.5,54.1,dohc,171,156,20,24,15690
181,-1,115,toyota,gas,wagon,rwd,front,66.5,54.1,dohc,161,156,19,24,15750
182,2,122,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,52,37,46,7775
183,2,122,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,7975
184,2,94,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,52,37,46,7995
185,2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,8195
186,2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,8495
187,2,94,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,68,37,42,9495
188,2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,100,26,32,9995
189,3,115,volkswagen,gas,convertible,fwd,front,64.2,55.6,ohc,109,90,24,29,11595
190,3,256,volkswagen,gas,hatchback,fwd,front,64.0,51.4,ohc,109,90,24,29,9980
191,0,115,volkswagen,gas,sedan,fwd,front,66.9,55.1,ohc,136,110,19,24,13295
192,0,115,volkswagen,diesel,sedan,fwd,front,66.9,55.1,ohc,97,68,33,38,13845
193,0,115,volkswagen,gas,wagon,fwd,front,66.9,55.1,ohc,109,88,25,31,12290
194,-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,141,114,23,28,12940
195,-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,141,114,23,28,13415
196,-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,141,114,24,28,15985
197,-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,141,114,24,28,16515
198,-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,130,162,17,22,18420
199,-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,130,162,17,22,18950
200,-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohc,141,114,23,28,16845
201,-1,95,volvo,gas,sedan,rwd,front,68.8,55.5,ohc,141,160,19,25,19045
202,-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohcv,173,134,18,23,21485
203,-1,95,volvo,diesel,sedan,rwd,front,68.9,55.5,ohc,145,106,26,27,22470
204,-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohc,141,114,19,25,22625
