DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
2014-02-27,36.0,55.0,46.0,643,1827
2014-02-28,36.0,57.0,47.0,643,1827
2014-03-01,41.0,55.0,48.0,642,1828
2014-03-02,31.0,45.0,38.0,641,1828
2014-03-03,31.0,42.0,37.0,640,1828
2014-03-04,34.0,43.0,39.0,640,1829
2014-03-05,33.0,46.0,40.0,639,1829
2014-03-06,35.0,46.0,41.0,638,1829
2014-03-07,34.0,54.0,44.0,637,1830
2014-03-08,34.0,43.0,39.0,637,1830
2014-03-09,36.0,47.0,42.0,636,1830
2014-03-10,32.0,47.0,40.0,635,1831
2014-03-11,31.0,49.0,40.0,634,1831
2014-03-12,29.0,50.0,40.0,633,1831
2014-03-13,33.0,55.0,44.0,632,1832
2014-03-14,36.0,51.0,44.0,632,1832
2014-03-15,32.0,48.0,40.0,631,1832
2014-03-16,31.0,49.0,40.0,630,1832
2014-03-17,36.0,53.0,45.0,629,1833
2014-03-18,35.0,53.0,44.0,628,1833
2014-03-19,35.0,53.0,44.0,627,1833
2014-03-20,33.0,48.0,41.0,626,1833
2014-03-21,30.0,48.0,39.0,626,1834
2014-03-22,30.0,43.0,37.0,625,1834
2014-03-23,32.0,45.0,39.0,624,1834
2014-03-24,31.0,51.0,41.0,623,1834
2014-03-25,34.0,53.0,44.0,622,1835
2014-03-26,35.0,55.0,45.0,621,1835
2014-03-27,31.0,46.0,39.0,620,1835
2014-03-28,29.0,43.0,36.0,620,1835
2014-03-29,32.0,39.0,36.0,619,1836
2014-03-30,32.0,41.0,37.0,618,1836
2014-03-31,31.0,42.0,37.0,617,1836
2014-04-01,34.0,45.0,40.0,616,1836
2014-04-02,33.0,52.0,43.0,615,1837
2014-04-03,36.0,51.0,44.0,614,1837
2014-04-04,31.0,50.0,41.0,614,1837
2014-04-05,31.0,51.0,41.0,613,1838
2014-04-06,35.0,49.0,42.0,612,1838
2014-04-07,35.0,49.0,42.0,611,1838
2014-04-08,35.0,52.0,44.0,610,1838
2014-04-09,36.0,53.0,45.0,610,1839
2014-04-10,35.0,55.0,45.0,609,1839
2014-04-11,37.0,56.0,47.0,608,1839
2014-04-12,36.0,52.0,44.0,607,1839
2014-04-13,32.0,49.0,41.0,606,1840
2014-04-14,31.0,50.0,41.0,606,1840
2014-04-15,36.0,53.0,45.0,605,1840
2014-04-16,40.0,59.0,50.0,604,1841
2014-04-17,42.0,58.0,50.0,603,1841
2014-04-18,43.0,60.0,52.0,602,1841
2014-04-19,43.0,60.0,52.0,602,1841
2014-04-20,41.0,57.0,49.0,601,1842
2014-04-21,40.0,54.0,47.0,600,1842
2014-04-22,38.0,58.0,48.0,600,1842
2014-04-23,41.0,58.0,50.0,559,1843
2014-04-24,41.0,59.0,50.0,558,1843
2014-04-25,43.0,59.0,51.0,558,1843
2014-04-26,45.0,62.0,54.0,557,1844
2014-04-27,42.0,53.0,48.0,556,1844
2014-04-28,40.0,53.0,47.0,556,1844
2014-04-29,39.0,53.0,46.0,555,1845
2014-04-30,37.0,50.0,44.0,554,1845
2014-05-01,36.0,53.0,45.0,554,1845
2014-05-02,38.0,51.0,45.0,553,1846
2014-05-03,36.0,55.0,46.0,553,1846
2014-05-04,36.0,55.0,46.0,552,1846
2014-05-05,40.0,54.0,47.0,552,1847
2014-05-06,40.0,58.0,49.0,551,1847
2014-05-07,42.0,60.0,51.0,550,1847
2014-05-08,42.0,61.0,52.0,550,1848
2014-05-09,44.0,59.0,52.0,550,1848
2014-05-10,42.0,56.0,49.0,549,1849
2014-05-11,40.0,56.0,48.0,549,1849
2014-05-12,38.0,55.0,47.0,548,1849
2014-05-13,38.0,56.0,47.0,548,1850
2014-05-14,40.0,55.0,48.0,547,1850
2014-05-15,41.0,58.0,50.0,547,1851
2014-05-16,44.0,60.0,52.0,547,1851
2014-05-18,43.0,60.0,52.0,546,1852
2014-05-19,44.0,60.0,52.0,546,1852
2014-05-20,44.0,62.0,53.0,545,1853
2014-05-21,47.0,62.0,55.0,545,1853
2014-05-22,44.0,59.0,52.0,545,1853
2014-05-23,41.0,58.0,50.0,545,1854
2014-05-24,39.0,57.0,48.0,544,1854
2014-05-25,38.0,52.0,45.0,544,1855
2014-05-26,36.0,47.0,42.0,544,1855
2014-05-27,35.0,49.0,42.0,544,1855
2014-05-28,35.0,51.0,43.0,544,1856
2014-05-29,34.0,53.0,44.0,543,1856
2014-05-30,36.0,55.0,46.0,543,1856
2014-05-31,35.0,51.0,43.0,543,1857
2014-06-01,34.0,53.0,44.0,543,1857
2014-06-02,36.0,48.0,42.0,543,1858
2014-06-03,38.0,53.0,46.0,543,1858
2014-06-04,37.0,53.0,45.0,543,1858
2014-06-05,40.0,55.0,48.0,543,1859
2014-06-06,35.0,52.0,44.0,543,1859
2014-06-07,36.0,53.0,45.0,543,1859
2014-06-08,42.0,54.0,48.0,543,1900
2014-06-09,44.0,57.0,51.0,543,1900
2014-06-10,43.0,60.0,52.0,543,1900
2014-06-11,42.0,55.0,49.0,543,1901
2014-06-12,37.0,53.0,45.0,543,1901
2014-06-13,35.0,57.0,46.0,543,1901
2014-06-14,37.0,62.0,50.0,544,1902
2014-06-15,42.0,60.0,51.0,544,1902
2014-06-16,41.0,58.0,50.0,544,1902
2014-06-17,37.0,52.0,45.0,544,1902
2014-06-18,36.0,51.0,44.0,544,1903
2014-06-19,40.0,57.0,49.0,544,1903
2014-06-20,39.0,52.0,46.0,545,1903
2014-06-21,35.0,48.0,42.0,545,1903
2014-06-22,37.0,53.0,45.0,545,1904
2014-06-23,41.0,60.0,51.0,545,1904
2014-06-24,42.0,60.0,51.0,545,1904
2014-06-25,45.0,62.0,54.0,546,1904
2014-06-26,48.0,64.0,56.0,546,1904
2014-06-27,47.0,60.0,54.0,546,1904
2014-06-28,47.0,59.0,53.0,546,1905
2014-06-29,45.0,61.0,53.0,547,1905
2014-06-30,43.0,61.0,52.0,547,1905
2014-07-01,45.0,62.0,54.0,547,1905
2014-07-02,47.0,61.0,54.0,548,1905
2014-07-03,48.0,66.0,57.0,548,1905
2014-07-04,47.0,65.0,56.0,548,1905
2014-07-05,43.0,61.0,52.0,549,1905
2014-07-06,40.0,58.0,49.0,549,1905
2014-07-07,40.0,56.0,48.0,549,1905
2014-07-08,44.0,55.0,50.0,550,1905
2014-07-09,43.0,59.0,51.0,550,1905
2014-07-10,43.0,62.0,53.0,550,1905
2014-07-11,43.0,62.0,53.0,551,1905
2014-07-12,42.0,61.0,52.0,551,1905
2014-07-13,40.0,56.0,48.0,551,1904
2014-07-14,41.0,51.0,46.0,552,1904
2014-07-15,38.0,55.0,47.0,552,1904
2014-07-16,39.0,52.0,46.0,553,1904
2014-07-17,39.0,59.0,49.0,553,1904
2014-07-18,37.0,59.0,48.0,553,1904
2014-07-19,41.0,56.0,49.0,554,1903
2014-07-20,41.0,51.0,46.0,554,1903
2014-07-21,42.0,58.0,50.0,554,1903
2014-07-22,43.0,52.0,48.0,555,1902
2014-07-23,44.0,61.0,53.0,555,1902
2014-07-24,45.0,62.0,54.0,556,1902
2014-07-25,44.0,64.0,54.0,556,1901
2014-07-26,42.0,57.0,50.0,556,1901
2014-07-27,38.0,54.0,46.0,557,1901
2014-07-28,35.0,58.0,47.0,557,1900
2014-07-29,34.0,53.0,44.0,557,1900
2014-07-30,38.0,56.0,47.0,558,1859
2014-07-31,39.0,55.0,47.0,558,1859
2014-08-01,44.0,62.0,53.0,558,1859
2014-08-02,42.0,60.0,51.0,559,1858
2014-08-03,43.0,60.0,52.0,559,1858
2014-08-04,44.0,64.0,54.0,559,1857
2014-08-05,43.0,61.0,52.0,600,1857
2014-08-06,40.0,60.0,50.0,600,1856
2014-08-07,41.0,50.0,46.0,600,1855
2014-08-08,41.0,52.0,47.0,601,1855
2014-08-09,39.0,57.0,48.0,601,1854
2014-08-10,38.0,53.0,46.0,601,1854
2014-08-11,39.0,56.0,48.0,602,1853
2014-08-12,40.0,58.0,49.0,602,1852
2014-08-13,41.0,62.0,52.0,602,1852
2014-08-14,44.0,63.0,54.0,603,1851
2014-08-15,45.0,63.0,54.0,603,1850
2014-08-16,42.0,62.0,52.0,603,1850
2014-08-17,39.0,58.0,49.0,603,1849
2014-08-18,38.0,57.0,48.0,604,1848
2014-08-19,36.0,55.0,46.0,604,1848
2014-08-20,38.0,54.0,46.0,604,1847
2014-08-21,40.0,56.0,48.0,604,1846
2014-08-22,39.0,57.0,48.0,605,1845
2014-08-23,43.0,60.0,52.0,605,1845
2014-08-24,42.0,59.0,51.0,605,1844
2014-08-25,41.0,60.0,51.0,605,1843
2014-08-26,41.0,56.0,49.0,606,1842
2014-08-27,40.0,55.0,48.0,606,1841
2014-08-28,39.0,56.0,48.0,606,1841
2014-08-29,38.0,55.0,47.0,606,1840
2014-08-30,44.0,59.0,52.0,607,1839
2014-08-31,42.0,60.0,51.0,607,1838
2014-09-01,38.0,55.0,47.0,607,1837
2014-09-02,42.0,59.0,51.0,607,1836
2014-09-03,42.0,60.0,51.0,607,1836
2014-09-04,44.0,58.0,51.0,608,1835
2014-09-05,44.0,61.0,53.0,608,1834
2014-09-06,41.0,58.0,50.0,608,1833
2014-09-07,39.0,54.0,47.0,608,1832
2014-09-08,39.0,53.0,46.0,608,1831
2014-09-09,39.0,54.0,47.0,609,1830
2014-09-10,40.0,55.0,48.0,609,1829
2014-09-11,42.0,56.0,49.0,609,1828
2014-09-12,39.0,60.0,50.0,609,1828
2014-09-13,41.0,60.0,51.0,609,1827
2014-09-14,42.0,59.0,51.0,610,1826
2014-09-15,43.0,57.0,50.0,610,1825
2014-09-16,40.0,52.0,46.0,610,1824
2014-09-17,39.0,53.0,46.0,610,1823
2014-09-18,37.0,55.0,46.0,610,1822
2014-09-19,40.0,54.0,47.0,611,1821
2014-09-20,41.0,51.0,46.0,611,1820
2014-09-21,38.0,52.0,45.0,611,1819
2014-09-22,40.0,56.0,48.0,611,1819
2014-09-23,41.0,59.0,50.0,611,1818
2014-09-24,41.0,58.0,50.0,612,1817
2014-09-25,40.0,56.0,48.0,612,1816
2014-09-26,41.0,61.0,51.0,612,1815
2014-09-27,42.0,52.0,47.0,612,1814
2014-09-28,42.0,56.0,49.0,612,1813
2014-09-29,40.0,54.0,47.0,613,1812
2014-09-30,35.0,52.0,44.0,613,1811
2014-10-01,37.0,53.0,45.0,613,1811
2014-10-02,38.0,52.0,45.0,613,1810
2014-10-03,36.0,52.0,44.0,614,1809
2014-10-04,38.0,52.0,45.0,614,1808
2014-10-05,40.0,52.0,46.0,614,1807
2014-10-06,38.0,54.0,46.0,614,1806
2014-10-07,42.0,53.0,48.0,615,1805
2014-10-08,42.0,56.0,49.0,615,1805
2014-10-09,42.0,60.0,51.0,615,1804
2014-10-10,39.0,58.0,49.0,615,1803
2014-10-11,39.0,54.0,47.0,616,1802
2014-10-12,36.0,53.0,45.0,616,1801
2014-10-13,33.0,53.0,43.0,616,1801
2014-10-14,37.0,54.0,46.0,616,1800
2014-10-15,39.0,58.0,49.0,617,1759
2014-10-16,43.0,61.0,52.0,617,1758
2014-10-17,44.0,51.0,48.0,617,1758
2014-10-18,43.0,48.0,46.0,618,1757
2014-10-19,42.0,54.0,48.0,618,1756
2014-10-20,41.0,60.0,51.0,618,1755
2014-10-21,38.0,59.0,49.0,619,1755
2014-10-22,41.0,55.0,48.0,619,1754
2014-10-23,36.0,56.0,46.0,620,1753
2014-10-24,40.0,58.0,49.0,620,1753
2014-10-25,39.0,58.0,49.0,620,1752
2014-10-26,37.0,59.0,48.0,621,1752
2014-10-27,39.0,55.0,47.0,621,1751
2014-10-28,40.0,58.0,49.0,622,1750
2014-10-29,41.0,57.0,49.0,622,1750
2014-10-30,39.0,56.0,48.0,622,1749
2014-10-31,37.0,56.0,47.0,623,1749
2014-11-01,37.0,51.0,44.0,623,1748
2014-11-02,41.0,54.0,48.0,624,1748
2014-11-03,40.0,54.0,47.0,624,1747
2014-11-04,37.0,48.0,43.0,625,1747
2014-11-05,39.0,56.0,48.0,625,1746
2014-11-06,43.0,56.0,50.0,626,1746
2014-11-07,38.0,57.0,48.0,626,1746
2014-11-08,36.0,55.0,46.0,627,1745
2014-11-09,37.0,59.0,48.0,627,1745
2014-11-10,42.0,60.0,51.0,628,1745
2014-11-11,42.0,57.0,50.0,628,1744
2014-11-12,41.0,56.0,49.0,629,1744
2014-11-13,39.0,56.0,48.0,629,1744
2014-11-14,38.0,54.0,46.0,630,1743
2014-11-15,37.0,51.0,44.0,630,1743
2014-11-16,38.0,55.0,47.0,631,1743
2014-11-17,42.0,57.0,50.0,632,1743
2014-11-18,38.0,56.0,47.0,632,1743
2014-11-19,37.0,56.0,47.0,633,1743
2014-11-20,39.0,51.0,45.0,633,1742
2014-11-21,39.0,55.0,47.0,634,1742
2014-11-22,38.0,54.0,46.0,635,1742
2014-11-23,33.0,53.0,43.0,635,1742
2014-11-24,41.0,59.0,50.0,636,1742
2014-11-25,42.0,59.0,51.0,636,1742
2014-11-26,41.0,55.0,48.0,637,1742
2014-11-27,39.0,57.0,48.0,638,1742
2014-11-28,38.0,56.0,47.0,638,1742
2014-11-29,35.0,54.0,45.0,639,1742
2014-11-30,35.0,50.0,43.0,640,1742
2014-12-01,35.0,52.0,44.0,640,1743
2014-12-02,35.0,51.0,43.0,641,1743
2014-12-03,38.0,51.0,45.0,641,1743
2014-12-04,42.0,52.0,47.0,642,1743
2014-12-05,39.0,50.0,45.0,643,1743
2014-12-06,36.0,51.0,44.0,643,1743
2014-12-07,36.0,56.0,46.0,644,1744
2014-12-08,38.0,58.0,48.0,645,1744
2014-12-09,39.0,56.0,48.0,645,1744
2014-12-10,39.0,60.0,50.0,646,1745
2014-12-11,42.0,60.0,51.0,646,1745
2014-12-12,37.0,55.0,46.0,647,1745
2014-12-13,37.0,56.0,47.0,648,1746
2014-12-14,38.0,56.0,47.0,648,1746
2014-12-15,40.0,57.0,49.0,649,1746
2014-12-16,40.0,57.0,49.0,649,1747
2014-12-17,38.0,57.0,48.0,650,1747
2014-12-18,40.0,56.0,48.0,650,1748
2014-12-19,42.0,59.0,51.0,651,1748
2014-12-20,39.0,56.0,48.0,651,1749
2014-12-21,36.0,52.0,44.0,652,1749
2014-12-22,31.0,47.0,39.0,652,1750
2014-12-23,31.0,41.0,36.0,653,1750
2014-12-24,36.0,45.0,41.0,653,1751
2014-12-25,40.0,54.0,47.0,654,1751
2014-12-26,41.0,53.0,47.0,654,1752
2014-12-27,37.0,51.0,44.0,655,1752
2014-12-28,39.0,56.0,48.0,655,1753
2014-12-29,36.0,54.0,45.0,655,1753
2014-12-30,36.0,53.0,45.0,656,1754
2014-12-31,34.0,53.0,44.0,656,1755
2015-01-01,38.0,51.0,45.0,657,1756
2015-01-02,34.0,40.0,37.0,657,1756
2015-01-03,29.0,36.0,33.0,657,1757
2015-01-04,31.0,44.0,38.0,658,1757
2015-01-05,37.0,51.0,44.0,658,1758
2015-01-06,38.0,52.0,45.0,658,1759
2015-01-07,38.0,54.0,46.0,658,1759
2015-01-08,38.0,57.0,48.0,659,1800
2015-01-09,36.0,55.0,46.0,659,1801
2015-01-10,34.0,51.0,43.0,659,1801
2015-01-11,38.0,54.0,46.0,659,1802
2015-01-12,40.0,57.0,49.0,659,1803
2015-01-13,41.0,56.0,49.0,659,1803
2015-01-14,35.0,58.0,47.0,659,1804
2015-01-15,38.0,58.0,48.0,659,1804
2015-01-16,40.0,56.0,48.0,700,1805
2015-01-17,38.0,58.0,48.0,700,1806
2015-01-18,37.0,57.0,47.0,700,1806
2015-01-19,37.0,59.0,48.0,700,1807
2015-01-20,36.0,56.0,46.0,659,1808
2015-01-21,40.0,58.0,49.0,659,1808
2015-01-22,39.0,54.0,47.0,659,1809
2015-01-23,43.0,65.0,54.0,659,1810
2015-01-24,41.0,61.0,51.0,659,1810
2015-01-25,40.0,55.0,48.0,659,1811
2015-01-26,42.0,59.0,51.0,659,1811
2015-01-27,36.0,58.0,47.0,659,1812
2015-01-28,36.0,54.0,45.0,658,1813
2015-01-29,35.0,54.0,45.0,658,1813
2015-01-30,36.0,54.0,45.0,658,1814
2015-01-31,33.0,53.0,43.0,658,1814
2015-02-01,36.0,53.0,45.0,657,1815
2015-02-02,38.0,54.0,46.0,657,1816
2015-02-03,41.0,54.0,48.0,657,1816
2015-02-04,39.0,50.0,45.0,656,1817
2015-02-05,38.0,50.0,44.0,656,1817
2015-02-06,33.0,47.0,40.0,655,1818
2015-02-07,32.0,54.0,43.0,655,1818
2015-02-08,43.0,59.0,51.0,655,1819
2015-02-09,42.0,55.0,49.0,654,1819
2015-02-10,35.0,50.0,43.0,654,1820
2015-02-11,34.0,54.0,44.0,653,1820
2015-02-12,37.0,53.0,45.0,653,1821
2015-02-13,40.0,54.0,47.0,652,1821
2015-02-14,38.0,57.0,48.0,652,1822
2015-02-15,37.0,51.0,44.0,651,1822
2015-02-16,37.0,53.0,45.0,651,1823
2015-02-17,36.0,54.0,45.0,650,1823
2015-02-18,36.0,54.0,45.0,649,1823
2015-02-19,38.0,56.0,47.0,649,1824
2015-02-20,39.0,54.0,47.0,648,1824
2015-02-21,36.0,51.0,44.0,647,1825
2015-02-22,35.0,52.0,44.0,647,1825
2015-02-23,40.0,53.0,47.0,646,1825
2015-02-24,40.0,56.0,48.0,646,1826
2015-02-25,39.0,57.0,48.0,645,1826
2015-02-26,36.0,48.0,42.0,644,1827
2015-02-27,35.0,49.0,42.0,643,1827
2015-02-28,35.0,44.0,40.0,643,1827
2015-03-01,33.0,44.0,39.0,642,1828
2015-03-02,32.0,43.0,38.0,641,1828
2015-03-03,33.0,46.0,40.0,640,1828
2015-03-04,33.0,39.0,36.0,640,1829
2015-03-05,33.0,48.0,41.0,639,1829
2015-03-06,35.0,49.0,42.0,638,1829
2015-03-07,38.0,53.0,46.0,637,1830
2015-03-08,32.0,46.0,39.0,637,1830
2015-03-09,33.0,37.0,35.0,636,1830
2015-03-10,34.0,42.0,38.0,635,1831
2015-03-11,31.0,37.0,34.0,634,1831
2015-03-12,32.0,39.0,36.0,633,1831
2015-03-13,31.0,41.0,36.0,632,1832
2015-03-14,31.0,47.0,39.0,632,1832
2015-03-15,33.0,51.0,42.0,631,1832
2015-03-16,36.0,54.0,45.0,630,1832
2015-03-17,36.0,57.0,47.0,629,1833
2015-03-18,36.0,57.0,47.0,628,1833
2015-03-19,39.0,60.0,50.0,627,1833
2015-03-20,38.0,61.0,50.0,626,1833
2015-03-21,41.0,60.0,51.0,626,1834
2015-03-22,37.0,56.0,47.0,625,1834
2015-03-23,38.0,58.0,48.0,624,1834
2015-03-24,36.0,56.0,46.0,623,1834
2015-03-25,38.0,54.0,46.0,622,1835
2015-03-26,34.0,59.0,47.0,621,1835
2015-03-27,39.0,58.0,49.0,620,1835
2015-03-28,42.0,58.0,50.0,620,1835
2015-03-29,39.0,57.0,48.0,619,1836
2015-03-30,36.0,54.0,45.0,618,1836
2015-03-31,31.0,50.0,41.0,617,1836
2015-04-01,32.0,49.0,41.0,616,1836
2015-04-02,31.0,49.0,40.0,615,1837
2015-04-03,35.0,50.0,43.0,614,1837
2015-04-04,39.0,51.0,45.0,614,1837
2015-04-05,35.0,53.0,44.0,613,1838
2015-04-06,35.0,52.0,44.0,612,1838
2015-04-07,33.0,47.0,40.0,611,1838
2015-04-08,33.0,52.0,43.0,610,1838
2015-04-09,34.0,51.0,43.0,610,1839
2015-04-10,35.0,49.0,42.0,609,1839
2015-04-11,35.0,48.0,42.0,608,1839
2015-04-12,33.0,48.0,41.0,607,1839
2015-04-13,36.0,53.0,45.0,606,1840
2015-04-14,39.0,52.0,46.0,606,1840
2015-04-15,37.0,48.0,43.0,605,1840
2015-04-16,34.0,47.0,41.0,604,1841
2015-04-17,34.0,50.0,42.0,603,1841
2015-04-18,37.0,53.0,45.0,602,1841
2015-04-19,40.0,58.0,49.0,602,1841
2015-04-20,39.0,60.0,50.0,601,1842
2015-04-21,43.0,63.0,53.0,600,1842
2015-04-22,40.0,60.0,50.0,600,1842
2015-04-23,39.0,57.0,48.0,559,1843
2015-04-24,43.0,58.0,51.0,558,1843
2015-04-25,43.0,57.0,50.0,558,1843
2015-04-26,41.0,55.0,48.0,557,1844
2015-04-27,37.0,54.0,46.0,556,1844
2015-04-28,33.0,55.0,44.0,556,1844
2015-04-29,37.0,59.0,48.0,555,1845
2015-04-30,36.0,57.0,47.0,554,1845
2015-05-01,37.0,53.0,45.0,554,1845
2015-05-02,35.0,50.0,43.0,553,1846
2015-05-03,33.0,53.0,43.0,553,1846
2015-05-04,40.0,55.0,48.0,552,1846
2015-05-05,42.0,59.0,51.0,552,1847
2015-05-06,42.0,63.0,53.0,551,1847
2015-05-07,41.0,59.0,50.0,550,1847
2015-05-08,38.0,59.0,49.0,550,1848
2015-05-09,38.0,54.0,46.0,550,1848
2015-05-10,36.0,51.0,44.0,549,1849
2015-05-11,37.0,55.0,46.0,549,1849
2015-05-12,37.0,51.0,44.0,548,1849
2015-05-13,33.0,45.0,39.0,548,1850
2015-05-14,31.0,49.0,40.0,547,1850
2015-05-15,32.0,52.0,42.0,547,1851
2015-05-16,33.0,56.0,45.0,547,1851
2015-05-17,38.0,60.0,49.0,546,1851
2015-05-18,38.0,58.0,48.0,546,1852
2015-05-19,39.0,55.0,47.0,546,1852
2015-05-20,39.0,54.0,47.0,545,1853
2015-05-21,37.0,55.0,46.0,545,1853
2015-05-22,39.0,59.0,49.0,545,1853
2015-05-23,41.0,55.0,48.0,545,1854
2015-05-24,39.0,59.0,49.0,544,1854
2015-05-25,42.0,62.0,52.0,544,1855
2015-05-26,43.0,64.0,54.0,544,1855
2015-05-27,44.0,57.0,51.0,544,1855
2015-05-28,43.0,60.0,52.0,544,1856
2015-05-29,44.0,62.0,53.0,543,1856
2015-05-30,41.0,54.0,48.0,543,1856
2015-05-31,39.0,52.0,46.0,543,1857
2015-06-01,38.0,54.0,46.0,543,1857
2015-06-02,41.0,56.0,49.0,543,1858
2015-06-03,41.0,55.0,48.0,543,1858
2015-06-04,39.0,55.0,47.0,543,1858
2015-06-05,37.0,53.0,45.0,543,1859
2015-06-06,36.0,55.0,46.0,543,1859
2015-06-07,40.0,54.0,47.0,543,1859
2015-06-08,38.0,56.0,47.0,543,1900
2015-06-09,38.0,53.0,46.0,543,1900
2015-06-10,37.0,49.0,43.0,543,1900
2015-06-11,34.0,46.0,40.0,543,1901
2015-06-12,32.0,50.0,41.0,543,1901
2015-06-13,39.0,52.0,46.0,543,1901
2015-06-14,42.0,57.0,50.0,544,1902
2015-06-15,41.0,63.0,52.0,544,1902
2015-06-16,48.0,61.0,55.0,544,1902
2015-06-17,46.0,65.0,56.0,544,1902
2015-06-18,45.0,67.0,56.0,544,1903
2015-06-19,43.0,61.0,52.0,544,1903
2015-06-20,43.0,60.0,52.0,545,1903
2015-06-21,45.0,60.0,53.0,545,1903
2015-06-22,45.0,59.0,52.0,545,1904
2015-06-23,46.0,65.0,56.0,545,1904
2015-06-24,42.0,60.0,51.0,545,1904
2015-06-25,42.0,59.0,51.0,546,1904
2015-06-26,42.0,57.0,50.0,546,1904
2015-06-27,38.0,56.0,47.0,546,1904
2015-06-28,42.0,55.0,49.0,546,1905
2015-06-29,40.0,56.0,48.0,547,1905
2015-06-30,40.0,56.0,48.0,547,1905
2015-07-01,37.0,54.0,46.0,547,1905
2015-07-02,38.0,54.0,46.0,548,1905
2015-07-03,38.0,56.0,47.0,548,1905
2015-07-04,39.0,56.0,48.0,548,1905
2015-07-05,41.0,59.0,50.0,549,1905
2015-07-06,43.0,60.0,52.0,549,1905
2015-07-07,39.0,55.0,47.0,549,1905
2015-07-08,40.0,53.0,47.0,550,1905
2015-07-09,38.0,55.0,47.0,550,1905
2015-07-10,40.0,55.0,48.0,550,1905
2015-07-11,46.0,60.0,53.0,551,1905
2015-07-12,46.0,58.0,52.0,551,1905
2015-07-13,45.0,57.0,51.0,551,1904
2015-07-14,45.0,60.0,53.0,552,1904
2015-07-15,44.0,66.0,55.0,552,1904
2015-07-16,43.0,59.0,51.0,553,1904
2015-07-17,41.0,54.0,48.0,553,1904
2015-07-18,39.0,56.0,48.0,553,1904
2015-07-19,43.0,56.0,50.0,554,1903
2015-07-20,40.0,51.0,46.0,554,1903
2015-07-21,37.0,49.0,43.0,554,1903
2015-07-22,37.0,52.0,45.0,555,1902
2015-07-23,39.0,59.0,49.0,555,1902
2015-07-24,43.0,59.0,51.0,556,1902
2015-07-25,45.0,56.0,51.0,556,1901
2015-07-26,42.0,58.0,50.0,556,1901
2015-07-27,44.0,55.0,50.0,557,1901
2015-07-28,40.0,55.0,48.0,557,1900
2015-07-29,46.0,62.0,54.0,557,1900
2015-07-30,48.0,64.0,56.0,558,1859
2015-07-31,45.0,63.0,54.0,558,1859
2015-08-01,46.0,66.0,56.0,558,1859
2015-08-02,45.0,52.0,49.0,559,1858
2015-08-03,44.0,51.0,48.0,559,1858
2015-08-04,40.0,54.0,47.0,559,1857
